Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Test_AUC,Test_Accuracy,Test_Cross,Test_Precision,Test_Recall,Train_AUC,Train_Accuracy,Train_Cross,Train_Precision,Train_Recall,Estimator,Reduction,Dataset
2022-06-27 14:45:38,21.8s,b5a7e90d063644b9b25f466738b8bbd7,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9999625317408388,0.9946070878274268,,0.9946070878274268,0.9946070878274268,0.9999996469205737,0.9998073959938367,,0.9998073959938367,0.9998073959938367,Sequential,PCA,DNA
2022-06-27 14:44:39,19.2s,39bab410fbeb402a9759eb84f6f221d2,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9950527448402259,0.950406156477127,,0.950406156477127,0.950406156477127,0.9999703424539007,0.9966866182129115,,0.9966866182129115,0.9966866182129115,Sequential,PCA,Kingdom
2022-06-27 14:35:44,42.4s,da8df07e185f45c08f18edc150ef98cf,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9998951516060811,0.9953775038520801,,0.9953775038520801,0.9953775038520801,0.9999999324105021,0.9999036979969184,,0.9999036979969184,0.9999036979969184,GradientBoostingClassifier,PCA,DNA
2022-06-27 14:35:40,1.1s,69a7270824c64d4592d332c21ac805e5,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9999261201571655,0.9957627118644068,,0.9957627118644068,0.9957627118644068,0.9999988506397558,0.9992295839753467,,0.9992295839753467,0.9992295839753467,HistGradientBoostingClassifier,PCA,DNA
2022-06-27 14:35:33,0.9s,8f196683f93649e1a32bededb7e9978a,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9999120967157488,0.9926810477657936,,0.9926810477657936,0.9926810477657936,0.9998827218467204,0.9973998459167951,,0.9973998459167951,0.9973998459167951,ExtraTreesClassifier,PCA,DNA
2022-06-27 14:35:12,14.7s,c5b7221975a04373a2cf8e0348192d1b,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9982242357422791,0.984206471494607,,0.984206471494607,0.984206471494607,0.9977415706070674,0.9825693374422187,,0.9825693374422187,0.9825693374422187,AdaBoostClassifier,PCA,DNA
2022-06-27 14:34:46,6.5s,4d88019f4da04889909ecfb357132905,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9999656940679745,0.9973035439137135,,0.9973035439137135,0.9973035439137135,0.9999999324105021,0.9999036979969184,,0.9999036979969184,0.9999036979969184,XGBClassifier,PCA,DNA
2022-06-27 14:34:28,13.6s,cd1effb6426a4050ae8ca56f69394b03,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9996202004813689,0.9919106317411402,,0.9919106317411402,0.9919106317411402,0.9999999324105021,0.9999036979969184,,0.9999036979969184,0.9999036979969184,BaggingClassifier,PCA,DNA
2022-06-27 14:34:27,69ms,e98fe99b527e4039a33424b7859beca2,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9960395865136297,0.9645608628659477,,0.9645608628659477,0.9645608628659477,0.993865091187844,0.9608050847457628,,0.9608050847457628,0.9608050847457628,GaussianNB,PCA,DNA
2022-06-27 14:34:20,0.7s,79834e1375eb4b7e8d4e4879a4c0765b,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9995896521487196,0.9961479198767335,,0.9961479198767335,0.9961479198767335,0.9993746295916495,0.999711093990755,,0.999711093990755,0.999711093990755,RandomForestClassifier,PCA,DNA
2022-06-27 14:34:15,0.8s,19c34b8f042d465d88aa2252ab3a1472,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9996448781011646,0.9911402157164869,,0.9911402157164869,0.9911402157164869,0.9999958679620055,0.9999036979969184,,0.9999036979969184,0.9999036979969184,RandomForestClassifier,PCA,DNA
2022-06-27 14:29:02,1.5min,81d2bb5b960049b19ba9d4699993cef7,With PCA,LOCAL,/home/laad/Projects/IA/VirtualEnv_Embedding_3.9/lib/python3.8/site-packages/ipykernel_launcher.py,laad,FINISHED,0.9936243294061933,0.9350149636596836,,0.9350149636596836,0.9350149636596836,1,1,,1,1,GradientBoostingClassifier,PCA,Kingdom
